"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"3242","Morning Meditation ","Morning meditation is a great way to center yourself, open your heart, and drop into collective consciousness. Each morning we will ground, offer guided meditation, and spend time connecting with the stillness and silence. Feel free to stay after for our morning movement offering (Yoga, Qi Gong, etc).  ","Gathering/Party","Acrodesiac Lunartics Tribe","2024-06-21T08:30:00.000","2024-06-21T09:30:00.000","Friday 8:30am-9:30am (1hrs)","Fri, Jun 21","8:30am (1hrs)","08:30","09:30"
"3187","Toy Box - Open Play!","Come in and let your inner child out. Step back in time with us into our nostalgic toy box and delight in building a village from Lincoln Logs, setup a wooden train track, and populate your imaginary forest with toy animals. Or maybe you want to color on the walls of a cardboard doll house or play a simple game of pick up sticks with a friend? All toys are non-electronic, non-battery operated, no blinky lights or beep boops! Open 24/7 for solo or small group play when you are on sensory overload and need a reset. ","Miscellaneous","Nostalgia Under the Moonlight","2024-06-21T09:00:00.000","2024-06-21T10:00:00.000","Friday 9am-10am (1hrs)","Fri, Jun 21","9am (1hrs)","09:00","10:00"
"3202","Sparkle Pony Express","The Sparkle Pony Express is open for mail! Stop by the post office at Burntastic Barbie to send mail, receive mail, or deliver mail. You can be the Sparkle Pony Rider — pony and sparkles provider! You can write a letter to someone at another camp, to someone at your camp, to someone you don’t know, or to yourself! Send your message and share the love. Please, if you take a shift to deliver mail, remember: no MOOP! ","Games","Burntastic Barbie","2024-06-21T09:00:00.000","2024-06-21T10:00:00.000","Friday 9am-10am (1hrs)","Fri, Jun 21","9am (1hrs)","09:00","10:00"
"3210","Shitty? Or Pretty? Burner Caricatures ","Shitty? Or Pretty? Who knows but it will be fun… Running Doe will be whipping out some fast and fun portraits for you to keep. Come get your Burner Portraits. ","Miscellaneous","Dolls To The Wall","2024-06-21T09:00:00.000","2024-06-21T10:00:00.000","Friday 9am-10am (1hrs)","Fri, Jun 21","9am (1hrs)","09:00","10:00"
"3237","Morning Yoga Flow","Join us for Morning Yoga! Incorporating both physical movement and energy activation. Every morning will be different as each teacher brings their own gifts and offerings. ","Gathering/Party","Acrodesiac Lunartics Tribe","2024-06-21T09:00:00.000","2024-06-21T10:00:00.000","Friday 9am-10am (1hrs)","Fri, Jun 21","9am (1hrs)","09:00","10:00"
"3272","GerBar - premier paté for pristine palets","Is your tummy tired of the garbage from Bratshit bar? Grumpy about not winning anything from Trash & Treasure at Coffee Bar? No problem! Ask to speak to your resident GerBar baby in camp and we’ll have a hearty pureed meal in your hands before you can cry about any spilt milk","Food & Drink","Dolls To The Wall","2024-06-21T09:00:00.000","2024-06-21T10:00:00.000","Friday 9am-10am (1hrs)","Fri, Jun 21","9am (1hrs)","09:00","10:00"
"3297","Breakfast BEEstro","Buzz on over for self serve breakfast snacks ","Food & Drink","Not Sure","2024-06-21T09:00:00.000","2024-06-21T11:00:00.000","Friday 9am-11am (2hrs)","Fri, Jun 21","9am (2hrs)","09:00","11:00"
"3300","Braiding Bonanza","Come by to have your hair braided to keep those luscious locks under control! We have 3 volunteers (and more are welcome!) who will be hanging out to do your hair! Please bring your own brush or comb, we will provide rubber bands.","Arts & Crafts","That's Pretty Neat!","2024-06-21T09:00:00.000","2024-06-21T11:00:00.000","Friday 9am-11am (2hrs)","Fri, Jun 21","9am (2hrs)","09:00","11:00"
"3286","Dreamwork","Come share your dream. Look at it through a Jungian lens. Manifest it. ","Gathering/Party","Sensua (formerly Herhisensua)","2024-06-21T09:30:00.000","2024-06-21T11:00:00.000","Friday 9:30am-11am (2hrs)","Fri, Jun 21","9:30am (2hrs)","09:30","11:00"
"3307","AcroYoga: Intro Class and Jam","Join AcroKnox (AcroYoga Knoxville) and Asheville Acro communities for an introductory AcroYoga Class and jam! AcroYoga is where the playfulness of acrobatics meets the mindfulness of yoga. It is creating union first in ourselves, and then in our partnerships and within our community. The practice elevates the connection between you and others through movement, connection, and play. The experience of taking flight with AcroYoga instantly dissolves fears and invites you to tap into new and infinite possibilities of communication, trust, and union. Come join us! Open to every level and EveryBODY!!!\n\nJoin us for a one hour, all level intro class, followed by an Acro Jam.","Class/Workshop","Acrodesiac Lunartics Tribe","2024-06-21T10:00:00.000","2024-06-21T13:00:00.000","Friday 10am-1pm (3hrs)","Fri, Jun 21","10am (3hrs)","10:00","13:00"
